 entropy p
 104846.98199538363 1.7923480649743743E7
 104811.70363673243 1.8820123928931758E7
 104776.62265363982 1.9716767208119772E7
 104741.73657182512 2.0613410487307787E7
 104707.04296594649 2.15100537664958E7
 104672.53945827692 2.2406697045683816E7
 104638.22371742682 2.330334032487183E7
 104604.09345710823 2.4199983604059845E7
 104570.14643494261 2.509662688324786E7
 104536.38045130702 2.5993270162435874E7
 104502.79334822002 2.688991344162389E7
 104469.38300826325 2.7786556720811903E7

 179815.59670524084 1783901.6243595036
 180122.07776978234 1728481.362366662
 180436.8102570046 1673061.1003738202
 180760.37559867557 1617640.8383809784
 181093.41536886868 1562220.5763881367
 181436.64000262818 1506800.314395295
 181790.83914783332 1451380.0524024533
 182156.8940321009 1395959.7904096115
 182535.7923349257 1340539.5284167698
