 enthalpy p
 -1.9847575940840772E8 2229250.5851128167
 -1.984723224454939E8 2312547.423543263
 -1.9846884644823822E8 2395844.26197371
 -1.9846533181698757E8 2479141.1004041564
 -1.984617789458518E8 2562437.938834603
 -1.98458188222835E8 2645734.7772650495
 -1.984545600299634E8 2729031.615695496
 -1.9845089474340972E8 2812328.4541259427
 -1.9844719273361436E8 2895625.2925563892
 -1.984434543654035E8 2978922.130986836
 -1.9843967999810407E8 3062218.9694172824
 -1.984358699856556E8 3145515.807847729
 -1.9843202467671946E8 3228812.6462781755
 -1.9842814441478518E8 3312109.484708622
 -1.984242295382739E8 3395406.3231390687
 -1.9842028038063958E8 3478703.1615695152

 -1.6879371765320066E8 230126.462782104
 -1.687836978290426E8 227483.92606670363
 -1.6877369861089823E8 224841.38935130325
 -1.6876371986840734E8 222198.85263590288
 -1.687537614725768E8 219556.3159205025
 -1.687438232957604E8 216913.77920510212
 -1.687339052116394E8 214271.24248970175
 -1.687240070952032E8 211628.70577430137
 -1.687141288227304E8 208986.169058901
 -1.6870427027177048E8 206343.63234350062
 -1.686944313211254E8 203701.09562810024
 -1.6868461185083172E8 201058.55891269987
 -1.6867481174214333E8 198416.0221972995
 -1.6866503087751397E8 195773.48548189912
 -1.6865526914058036E8 193130.94876649874
 -1.686455264161457E8 190488.41205109836
 -1.6863580259016344E8 187845.875335698
 -1.68626097549721E8 185203.3386202976
 -1.686164111830243E8 182560.80190489723
 -1.6860674337938213E8 179918.26518949686
 -1.6859709402919126E8 177275.72847409648
 -1.685874630239212E8 174633.1917586961
 -1.6857785025609964E8 171990.65504329573
 -1.685682556192983E8 169348.11832789535
 -1.685586790081186E8 166705.58161249498
 -1.6854912031817767E8 164063.0448970946
 -1.685395794460949E8 161420.50818169423
 -1.6853005628947854E8 158777.97146629385
 -1.6852055074691227E8 156135.43475089347
 -1.6851106271794245E8 153492.8980354931
 -1.6850159210306537E8 150850.36132009272
 -1.684921388037146E8 148207.82460469235
 -1.684827027222488E8 145565.28788929197
 -1.684732837619396E8 142922.7511738916
 -1.6846388182695955E8 140280.21445849122
 -1.6845449682237068E8 137637.67774309084
 -1.684451286541128E8 134995.14102769046
 -1.684357772289921E8 132352.6043122901
 -1.6842644245467034E8 129710.0675968897
 -1.6841712423965362E8 127067.5308814893
 -1.6840782249328163E8 124424.99416608892

 -1.9746823233081195E8 253133.3411700722
 -1.9746641377797362E8 335855.0076408194
 -1.974645392981522E8 418576.6741115666
 -1.9746260957989275E8 501298.34058231383
 -1.9746062529878977E8 584020.007053061
 -1.9745858711781687E8 666741.6735238082
 -1.9745649568764532E8 749463.3399945555
 -1.9745435164695343E8 832185.0064653027
 -1.974521556227261E8 914906.6729360499
 -1.9744990823054388E8 997628.3394067971
 -1.9744761007486475E8 1080350.0058775442
 -1.9744526174929443E8 1163071.6723482914
 -1.9744286383685154E8 1245793.3388190386
 -1.9744041691022268E8 1328515.0052897858
 -1.9743792153200975E8 1411236.671760533
 -1.974353782549706E8 1493958.3382312802
 -1.97432787622252E8 1576680.0047020274
 -1.9743015016761562E8 1659401.6711727746
 -1.974274664156575E8 1742123.3376435218
 -1.974247368820208E8 1824845.004114269
 -1.974219620736026E8 1907566.6705850163
 -1.9741914248875442E8 1990288.3370557635
 -1.9741627861747706E8 2073010.0035265107
 -1.9741337094161007E8 2155731.6699972576
 -1.9741041993501502E8 2238453.3364680046
 -1.9740742606375477E8 2321175.0029387516
 -1.9740438978626642E8 2403896.6694094986
 -1.9740131155353037E8 2486618.3358802455
 -1.973981918092342E8 2569340.0023509925
 -1.973950309899319E8 2652061.6688217395
 -1.973918295251993E8 2734783.3352924865
 -1.9738858783778438E8 2817505.0017632334
 -1.9738530634375423E8 2900226.6682339804
 -1.9738198545263773E8 2982948.3347047274
 -1.9737862556756425E8 3065670.0011754744
 -1.9737522708539897E8 3148391.6676462214
 -1.9737179039687428E8 3231113.3341169683
 -1.9736831588671774E8 3313835.0005877153
 -1.97364803933777E8 3396556.6670584623
 -1.9736125491114113E8 3479278.3335292093
 -1.973576691862586E8 3561999.999999956

 -1.6802351083072683E8 253133.3411700722
 -1.6801134794872904E8 249915.6324949726
 -1.6799921529065305E8 246697.92381987302
 -1.6798711262572953E8 243480.21514477342
 -1.6797503972610697E8 240262.50646967383
 -1.6796299636680046E8 237044.79779457423
 -1.6795098232564136E8 233827.08911947464
 -1.679389973832283E8 230609.38044437504
 -1.6792704132287914E8 227391.67176927545
 -1.679151139305839E8 224173.96309417585
 -1.6790321499495915E8 220956.25441907626
 -1.6789134430720285E8 217738.54574397666
 -1.678795016610506E8 214520.83706887707
 -1.6786768685273254E8 211303.12839377747
 -1.6785589968093148E8 208085.41971867788
 -1.6784413994674173E8 204867.71104357828
 -1.6783240745362875E8 201650.0023684787
 -1.6782070200739E8 198432.2936933791
 -1.6780902341611615E8 195214.5850182795
