 gibbs p
 -3.201758224233171E8 385562.1326328217
 -3.203415370242569E8 367944.24142891716
 -3.2051556553682274E8 350326.35022501263
 -3.206987659657972E8 332708.4590211081
 -3.2089213645459735E8 315090.5678172036
 -3.2109684756951004E8 297472.67661329906
 -3.213142844519391E8 279854.78540939454
 -3.215461026952093E8 262236.89420549
 -3.217943036841173E8 244619.0030015855
 -3.220613381454389E8 227001.11179768096
 -3.223502516193326E8 209383.22059377644
 -3.22664894025288E8 191765.3293898719
 -3.230102305139687E8 174147.4381859674
 -3.2339281869538903E8 156529.54698206286
 -3.2382157205345225E8 138911.65577815834

 -3.191990953015157E8 809964.9736504011
 -3.191764697991482E8 1739072.8078620515
 -3.191538555738033E8 2668180.642073702
 -3.191312525524425E8 3597288.4762853524
 -3.1910866066289693E8 4526396.310497003
 -3.1908607983385223E8 5455504.144708653
 -3.1906350999483293E8 6384611.978920303
 -3.190409510761883E8 7313719.813131954
 -3.190184030090773E8 8242827.647343604
 -3.1899586572545534E8 9171935.481555255
 -3.189733391580595E8 1.0101043315766906E7
 -3.189508232403961E8 1.1030151149978558E7
 -3.189283179067269E8 1.1959258984190209E7
 -3.1890582309205675E8 1.288836681840186E7
 -3.1888333873212093E8 1.3817474652613511E7
 -3.1886086476337266E8 1.4746582486825163E7
 -3.188384011229714E8 1.5675690321036814E7
 -3.188159477487712E8 1.6604798155248465E7
 -3.18793504579309E8 1.7533905989460114E7
 -3.187710715537938E8 1.8463013823671766E7
 -3.1874864861209524E8 1.9392121657883417E7
 -3.187262356947335E8 2.0321229492095068E7
 -3.187038327428682E8 2.125033732630672E7
 -3.186814396982886E8 2.217944516051837E7
 -3.186590565034034E8 2.310855299473002E7
 -3.18636683101231E8 2.4037660828941673E7
 -3.186143194353899E8 2.4966768663153324E7
 -3.18591965450089E8 2.5895876497364976E7
 -3.1856962109011894E8 2.6824984331576627E7
 -3.185472863008425E8 2.7754092165788278E7

 -3.1919909530145335E8 809964.9736504011
 -3.1930065319177717E8 787009.2666811962
 -3.194053603377466E8 764053.5597119912
 -3.195134085766899E8 741097.8527427863
 -3.196250078612821E8 718142.1457735813
 -3.1974038861436534E8 695186.4388043764
 -3.1985980447929424E8 672230.7318351715
 -3.1998353554830754E8 649275.0248659665
 -3.201118921722266E8 626319.3178967616
 -3.202452194818047E8 603363.6109275566
 -3.203839027864595E8 580407.9039583517
 -3.205283740629811E8 557452.1969891468
 -3.2067911980943716E8 534496.4900199418
 -3.2083669062415385E8 511540.78305073694
 -3.2100171298543197E8 488585.07608153205
 -3.211749038680767E8 465629.3691123272
 -3.213570890582063E8 442673.6621431223
 -3.215492263493574E8 419717.9551739174
 -3.2175243526938945E8 396762.2482047125
 -3.2196803567701155E8 373806.54123550764
 -3.2219759860630965E8 350850.83426630276
 -3.22443014341292E8 327895.1272970979
 -3.2270658523975945E8 304939.420327893
 -3.2299115495659435E8 281983.7133586881
 -3.2330029266335326E8 259028.0063894832
 -3.2363856298636633E8 236072.2994202783
 -3.240119344826597E8 213116.59245107337
